X_point_0,Y_point_0,X_point_1,Y_point_1,X_point_2,Y_point_2,X_point_3,Y_point_3,X_point_4,Y_point_4,X_point_5,Y_point_5,X_point_6,Y_point_6,X_point_7,Y_point_7,X_point_8,Y_point_8,X_point_9,Y_point_9,X_point_10,Y_point_10,X_point_11,Y_point_11,X_point_12,Y_point_12,X_point_13,Y_point_13,X_point_14,Y_point_14,X_point_15,Y_point_15,X_point_16,Y_point_16,X_point_17,Y_point_17,X_point_18,Y_point_18,X_point_19,Y_point_19,X_point_20,Y_point_20,Tipo
985,267,1150,464,1052,341,928,202,1150,211,1259,443,1202,299,1107,133,1611,349,1472,505,1557,412,1651,289,1404,224,1369,458,1398,315,1402,145,1168,719,952,530,1043,618,865,468,1340,774,0
997,248,1152,448,1058,323,945,182,1158,194,1261,425,1207,283,1116,116,1612,336,1473,490,1558,398,1651,277,1407,210,1371,441,1401,300,1404,131,1172,708,961,511,1049,603,870,453,1337,762,0
1026,208,1172,410,1084,283,978,142,1184,153,1281,388,1229,242,1147,76,1631,299,1494,453,1577,361,1672,240,1425,172,1390,404,1420,261,1423,95,1191,668,994,472,1074,564,906,414,1354,726,0
1069,219,1217,422,1128,294,1017,155,1225,167,1324,401,1272,255,1185,91,1670,314,1527,465,1615,373,1711,258,1470,189,1429,417,1463,276,1469,114,1225,677,1022,480,1106,574,929,420,1385,733,0
1080,264,1229,464,1139,338,1030,200,1242,208,1337,444,1287,298,1204,129,1694,361,1541,510,1634,420,1739,304,1490,231,1444,461,1481,320,1493,154,1228,718,1033,522,1112,616,945,458,1391,777,0
1050,396,1200,598,1113,469,994,331,1211,353,1305,581,1259,438,1171,276,1651,507,1497,648,1590,562,1700,453,1450,376,1408,600,1442,461,1455,299,1188,841,992,654,1075,743,897,592,1352,893,0
1061,550,1200,741,1123,619,1008,485,1225,514,1308,729,1270,595,1190,438,1679,694,1501,805,1608,735,1741,646,1493,551,1411,753,1470,628,1514,475,1181,974,997,785,1073,875,913,715,1340,1031,0
1031,559,1174,744,1095,625,976,497,1194,518,1282,731,1243,596,1156,443,1665,693,1478,807,1592,735,1727,644,1468,550,1387,754,1448,627,1485,473,1162,976,975,789,1052,877,878,724,1326,1028,0
789,575,951,754,856,640,728,516,939,532,1051,741,990,610,895,458,1414,702,1249,820,1348,749,1466,650,1183,555,1153,765,1184,638,1175,476,949,979,765,811,845,890,676,749,1104,1031,0
471,569,652,741,547,631,400,513,599,531,743,728,662,607,548,461,1064,679,952,802,1017,729,1103,625,826,543,846,749,842,624,809,465,708,960,520,788,595,865,450,731,867,1002,0
320,601,500,754,396,646,252,565,424,545,580,745,497,617,361,478,840,693,778,819,818,745,853,637,616,565,676,767,650,638,582,495,580,956,403,789,470,865,340,725,734,999,0
278,569,458,734,349,629,215,515,369,527,529,720,441,601,310,458,765,659,719,779,752,707,773,608,544,537,618,735,587,609,504,471,544,935,364,780,435,851,299,722,687,968,0
296,438,469,596,365,497,238,386,398,388,546,575,463,461,344,325,785,481,734,621,768,537,795,428,575,384,635,583,610,462,540,318,549,811,381,660,446,730,317,609,694,844,0
378,307,532,454,438,361,326,258,475,243,611,428,536,314,424,180,852,315,792,457,830,373,866,257,660,229,697,430,681,308,637,160,607,677,430,524,496,598,377,478,762,715,0
414,286,569,436,476,341,362,238,515,222,649,410,575,293,463,160,894,295,829,443,870,354,910,236,695,211,735,414,716,288,671,143,646,666,466,511,533,585,405,465,800,698,0
491,283,654,441,557,342,436,232,607,219,743,414,668,294,557,154,1018,306,941,452,989,364,1037,251,804,219,838,419,826,293,781,155,729,674,550,512,615,589,486,460,889,713,0
732,250,899,426,799,315,675,194,860,200,996,401,921,276,811,134,1313,301,1204,450,1272,361,1343,246,1076,201,1099,410,1096,279,1054,133,945,664,751,502,829,579,669,443,1110,704,0
1086,198,1226,390,1140,269,1044,134,1238,149,1330,367,1279,232,1208,76,1663,284,1528,418,1605,335,1709,235,1465,165,1433,377,1457,247,1467,92,1238,621,1052,448,1127,533,960,394,1394,664,0
1159,192,1284,384,1208,262,1118,131,1310,150,1388,367,1349,232,1277,78,1716,295,1583,429,1663,346,1756,247,1536,174,1489,383,1524,255,1541,105,1289,627,1104,437,1177,528,1018,385,1443,676,0
1164,191,1291,384,1214,262,1122,131,1314,151,1395,368,1354,234,1282,80,1720,299,1588,430,1669,349,1760,250,1539,177,1495,384,1529,257,1544,109,1287,626,1110,437,1179,528,1027,382,1443,678,0
1208,282,1331,482,1258,356,1165,218,1362,244,1433,468,1401,328,1330,170,1758,406,1609,538,1699,456,1806,357,1579,276,1527,488,1568,356,1586,206,1300,724,1135,531,1199,624,1055,465,1458,776,0
1179,447,1299,638,1231,517,1134,384,1336,411,1402,625,1373,492,1305,336,1743,567,1581,695,1677,617,1796,517,1561,439,1498,646,1546,519,1571,367,1270,865,1106,677,1172,767,1029,612,1422,920,0
1112,485,1246,670,1171,554,1060,424,1274,445,1351,657,1316,525,1239,372,1705,601,1538,729,1638,652,1760,551,1510,467,1450,678,1498,549,1518,394,1238,903,1058,718,1130,805,977,658,1394,956,0
917,502,1066,680,979,570,862,440,1067,456,1171,659,1116,534,1024,384,1527,597,1374,724,1469,646,1571,546,1320,462,1277,676,1314,547,1320,385,1078,913,896,737,969,820,807,680,1240,954,0
551,479,721,650,622,540,488,425,680,432,814,629,740,507,629,365,1134,547,1020,688,1091,605,1167,489,891,430,916,643,914,514,868,355,776,876,594,715,665,790,526,658,943,916,0
340,436,492,609,400,499,288,379,451,393,573,596,505,470,405,324,830,534,762,661,805,584,848,485,629,412,665,614,652,489,605,343,556,831,405,666,460,743,346,606,698,877,0
341,419,505,589,406,482,285,365,444,373,585,571,507,450,392,304,850,506,774,633,820,556,877,455,636,375,677,587,662,457,611,303,575,815,414,650,475,727,347,589,713,850,0
398,303,550,462,459,360,346,252,515,242,633,440,567,317,471,176,898,341,817,481,867,398,921,287,691,244,721,447,710,323,670,176,605,687,438,528,499,604,377,478,760,730,0
444,184,580,329,499,238,398,135,545,118,663,303,600,188,499,57,917,192,838,338,889,251,935,134,723,107,748,307,742,184,701,42,623,566,466,405,521,482,414,360,778,602,0
466,190,602,337,522,244,419,140,565,125,683,311,620,194,517,64,947,197,860,344,912,256,972,140,746,112,768,315,761,189,728,46,648,571,479,410,540,485,428,369,803,609,0
577,174,723,331,636,233,527,125,689,116,809,307,745,188,641,56,1108,204,1003,351,1069,262,1132,150,889,114,904,315,905,189,868,52,775,561,591,409,664,480,530,357,933,608,0
1010,141,1147,327,1061,212,968,80,1173,101,1251,305,1208,176,1140,39,1561,233,1436,361,1504,283,1605,186,1375,107,1348,317,1368,191,1374,35,1160,562,971,379,1046,466,889,325,1319,608,0
1238,123,1348,321,1280,198,1205,57,1397,83,1455,307,1426,168,1375,10,1785,252,1649,377,1731,298,1826,207,1610,119,1557,326,1596,198,1616,53,1342,562,1177,368,1242,460,1091,318,1489,614,0
1228,142,1342,339,1274,214,1191,80,1386,105,1449,326,1419,190,1359,32,1779,269,1641,395,1725,317,1822,222,1606,141,1551,346,1592,220,1614,75,1330,582,1170,387,1230,480,1090,335,1481,635,0
1220,216,1343,422,1270,291,1177,151,1374,182,1446,409,1413,268,1344,108,1779,347,1625,479,1718,397,1828,299,1597,216,1541,429,1585,296,1605,147,1313,665,1149,462,1212,558,1064,400,1471,719,0
1184,368,1302,563,1234,441,1141,304,1339,328,1406,550,1377,414,1308,252,1750,498,1585,622,1685,546,1804,452,1569,362,1502,572,1553,443,1580,290,1268,794,1109,602,1172,693,1031,541,1419,851,0
1146,440,1268,632,1201,510,1097,377,1309,405,1375,621,1348,487,1279,329,1737,579,1562,696,1665,625,1799,533,1547,438,1476,644,1530,517,1561,366,1246,863,1080,673,1146,763,998,609,1402,918,0
1036,458,1173,645,1093,528,986,395,1193,421,1278,629,1234,500,1157,349,1645,582,1478,701,1579,628,1698,535,1448,444,1383,650,1431,524,1456,371,1175,881,993,699,1065,787,914,632,1334,933,0
749,486,898,666,814,553,689,427,892,446,995,653,939,524,852,376,1342,604,1192,728,1282,654,1388,552,1105,466,1096,675,1114,548,1092,391,911,900,741,728,807,809,663,669,1071,942,0
394,513,548,689,453,577,341,456,500,479,629,675,554,551,456,413,926,617,827,739,883,666,960,565,680,499,724,693,705,570,657,433,618,900,447,735,512,810,381,678,767,943,0
219,543,382,706,283,604,164,489,301,507,446,697,363,580,248,441,639,637,617,764,634,691,637,582,446,525,527,717,486,598,408,459,462,904,307,755,367,823,251,697,601,944,0
182,553,341,715,245,613,127,500,247,520,401,707,314,590,189,455,582,645,575,773,584,700,577,588,391,534,482,726,434,608,351,466,425,909,274,762,334,828,218,706,559,945,0
188,478,345,637,250,537,136,427,257,437,407,622,320,508,204,374,598,540,578,670,596,594,596,488,401,438,486,632,443,513,362,374,431,832,269,694,332,757,216,643,566,863,0
242,299,393,443,303,352,190,251,320,244,463,419,385,311,265,185,674,308,638,453,662,368,682,250,479,226,545,423,513,304,446,159,467,669,298,520,361,590,247,475,616,704,0
288,257,439,405,349,312,237,210,375,189,515,377,439,258,321,129,729,258,688,411,718,320,732,199,542,174,598,380,572,252,513,107,519,634,348,478,410,553,296,429,666,666,0
329,257,481,407,390,313,280,208,421,191,559,380,483,262,369,129,794,264,740,413,777,325,802,206,595,179,645,383,623,256,568,112,559,635,391,478,452,553,337,429,712,669,0
573,213,732,384,638,278,519,158,691,168,824,359,750,240,642,106,1130,251,1029,400,1088,311,1162,195,897,158,924,365,915,237,877,89,789,625,605,456,677,534,533,406,955,669,0
803,157,964,335,868,221,747,101,934,108,1062,311,994,186,888,40,1387,216,1263,360,1337,275,1427,163,1155,109,1163,321,1168,191,1141,40,992,573,801,405,880,485,713,347,1157,618,0
964,135,1112,314,1024,199,912,80,1106,87,1214,290,1158,163,1065,22,1542,205,1417,343,1492,259,1579,155,1327,96,1318,302,1333,174,1319,30,1138,554,949,382,1022,466,865,328,1299,593,0
1030,146,1174,331,1086,215,983,88,1172,101,1276,309,1223,180,1132,33,1597,228,1472,364,1546,280,1638,178,1389,114,1376,322,1393,193,1382,47,1191,570,998,392,1073,479,914,340,1354,611,0
1126,249,1263,446,1182,320,1077,189,1261,208,1362,429,1312,291,1219,133,1696,354,1546,494,1636,408,1745,302,1494,227,1458,447,1489,310,1496,153,1250,684,1070,502,1143,588,986,442,1410,732,0
1042,420,1191,603,1105,488,987,359,1183,379,1287,586,1232,457,1143,308,1626,522,1471,652,1565,573,1674,472,1421,393,1383,605,1416,475,1422,320,1190,830,1007,657,1082,738,925,597,1345,883,0
1018,462,1166,643,1080,528,963,403,1162,424,1267,627,1215,500,1117,353,1620,576,1462,695,1556,621,1674,529,1406,436,1369,646,1402,516,1408,361,1176,873,993,702,1068,783,916,640,1332,917,0
879,482,1031,659,942,549,821,424,1026,439,1133,641,1075,516,983,369,1484,587,1335,708,1426,634,1528,540,1260,450,1237,659,1263,533,1251,377,1048,888,869,719,939,800,793,659,1206,931,0
563,518,729,689,629,581,504,462,697,478,821,671,749,551,653,415,1143,605,1029,735,1099,658,1175,554,904,484,923,688,922,564,882,414,779,908,614,746,677,823,542,688,937,944,0
291,535,463,700,358,596,234,481,376,497,533,684,442,569,322,431,763,611,719,735,746,663,774,561,539,502,621,696,581,576,500,435,553,898,385,753,450,820,318,701,696,933,0
271,538,452,696,342,595,209,487,356,497,523,679,429,567,296,431,749,610,711,734,735,662,761,556,526,498,611,693,570,570,488,430,546,897,372,750,441,818,308,691,681,923,0
314,461,491,623,384,521,255,408,405,415,565,599,474,487,349,354,816,505,756,637,791,557,837,456,582,406,655,604,621,482,548,341,581,833,407,681,474,752,334,630,722,859,0
343,276,501,423,406,329,290,227,445,210,582,395,506,280,394,149,834,269,767,419,807,330,853,210,617,193,669,394,646,269,589,130,579,649,400,496,466,569,337,452,739,677,0
366,212,515,358,426,265,314,165,454,144,595,328,519,214,397,84,839,199,774,351,817,259,850,141,640,122,681,327,663,201,614,57,587,595,403,439,470,513,346,399,744,621,0
423,216,579,365,487,272,369,167,518,149,661,337,583,220,463,86,923,219,850,370,896,279,940,162,710,139,751,339,734,213,684,76,653,600,469,447,538,520,406,398,811,634,0
667,180,840,345,735,242,610,125,803,124,940,315,867,196,748,62,1251,208,1152,358,1213,267,1276,153,1017,123,1046,321,1040,194,990,63,899,584,689,425,776,502,600,372,1069,625,0
953,172,1120,356,1021,240,897,114,1088,116,1222,326,1147,197,1042,46,1565,231,1432,373,1508,286,1607,177,1332,114,1328,332,1338,199,1321,38,1160,596,950,433,1040,514,852,379,1322,630,0
1037,179,1193,366,1098,248,985,120,1180,128,1297,340,1236,208,1132,57,1630,250,1498,394,1577,306,1671,196,1418,133,1401,351,1421,216,1413,61,1229,616,1013,437,1101,526,918,381,1395,650,0
1057,247,1210,438,1118,318,1004,187,1195,197,1307,414,1248,279,1151,125,1645,325,1497,469,1586,381,1690,273,1431,206,1405,426,1431,289,1428,133,1223,682,1028,502,1108,588,939,442,1387,727,0
1014,407,1186,586,1085,471,950,351,1151,362,1282,563,1213,435,1099,296,1615,480,1473,615,1558,532,1661,430,1391,359,1381,575,1397,442,1384,284,1208,818,997,654,1085,732,908,598,1375,859,0
970,481,1136,649,1040,540,908,427,1103,436,1233,628,1166,506,1051,368,1588,558,1437,685,1526,608,1640,505,1350,432,1338,641,1358,511,1342,357,1170,878,972,713,1054,790,879,662,1332,912,0
897,476,1068,644,969,536,833,420,1033,427,1167,622,1096,500,978,361,1521,556,1375,680,1461,603,1568,506,1280,425,1272,635,1288,506,1268,351,1112,872,911,710,991,786,826,657,1271,902,0
552,593,732,757,620,656,491,536,670,547,820,737,729,620,619,484,1120,664,1027,789,1082,713,1146,614,879,556,919,749,901,630,854,490,799,968,616,819,691,890,540,763,963,1009,0
261,661,447,819,334,716,196,610,342,629,516,808,419,695,278,567,746,755,703,869,732,803,752,702,514,648,604,825,559,711,473,586,543,1010,361,866,433,932,298,809,690,1044,0
220,645,405,802,292,703,156,593,294,611,473,790,372,679,228,545,691,721,669,847,686,773,692,667,460,617,564,806,510,685,415,552,510,991,332,846,403,912,268,793,650,1018,0
252,554,439,707,326,610,188,504,342,507,512,686,416,578,283,443,761,608,714,734,742,660,777,558,518,506,606,696,563,578,478,445,544,909,358,767,432,832,286,716,685,932,0
281,348,455,497,352,403,221,296,373,284,531,467,443,357,314,219,775,347,718,492,755,406,790,289,559,262,618,466,592,344,527,192,545,726,349,577,427,648,287,532,708,757,0
270,304,436,450,336,358,215,257,354,236,514,419,425,305,292,177,753,289,703,447,737,353,761,228,542,207,603,419,573,289,511,139,533,685,336,535,411,607,276,491,690,709,0
306,285,471,431,372,339,250,235,391,219,549,401,461,288,331,157,787,272,735,426,770,334,796,211,580,195,637,400,611,274,550,126,567,658,379,509,451,579,310,466,724,689,0
536,216,708,384,604,281,478,160,666,166,804,351,729,233,613,109,1099,224,1018,382,1068,285,1121,170,855,154,907,352,885,224,826,98,799,624,593,467,675,544,504,415,971,656,0
916,190,1080,371,984,257,860,135,1043,139,1183,341,1104,216,994,72,1520,248,1393,389,1465,302,1561,193,1296,133,1289,348,1299,218,1287,58,1127,608,908,443,1000,524,818,387,1293,641,0
1044,186,1193,374,1104,254,993,127,1182,138,1296,351,1238,219,1138,66,1637,266,1498,407,1579,321,1684,211,1430,144,1400,363,1428,229,1429,70,1220,620,1011,441,1097,527,918,389,1381,659,0
1037,221,1189,408,1098,290,986,161,1174,166,1290,383,1229,250,1129,92,1636,295,1491,441,1579,352,1680,240,1426,174,1393,396,1422,260,1425,100,1214,656,1010,483,1095,567,919,426,1375,697,0
1036,373,1205,566,1107,442,972,312,1180,331,1306,546,1242,410,1127,258,1659,470,1499,607,1592,523,1715,416,1436,338,1407,562,1434,423,1436,259,1211,808,1011,630,1093,713,921,572,1378,851,0
1051,499,1209,687,1118,566,990,438,1196,462,1309,670,1254,538,1147,390,1685,617,1504,735,1610,661,1748,566,1465,480,1412,688,1453,560,1473,403,1214,921,1013,745,1096,828,922,680,1376,970,0
991,523,1151,704,1061,586,929,467,1140,476,1255,682,1198,551,1090,405,1638,628,1461,745,1566,670,1695,579,1410,488,1362,698,1402,567,1413,413,1186,939,977,762,1062,847,879,703,1356,975,0
786,508,963,681,861,569,716,451,927,462,1061,660,989,537,873,393,1425,606,1269,725,1362,652,1475,557,1185,465,1168,677,1190,549,1172,388,996,914,793,751,875,828,707,693,1163,946,0
547,494,733,662,624,554,476,439,679,446,828,640,747,520,619,379,1160,575,1045,702,1114,625,1197,524,903,445,935,655,929,528,875,370,795,886,606,731,680,803,535,676,960,915,0
334,506,525,666,407,562,271,456,440,450,603,643,504,523,388,385,879,567,808,697,853,621,895,514,629,456,700,655,664,532,591,387,626,880,436,733,510,803,360,680,783,906,0
280,483,470,643,353,540,218,431,379,425,547,617,450,500,324,359,793,525,744,659,772,578,811,476,560,422,639,623,599,497,527,357,582,858,393,707,465,781,317,654,724,875,0
302,393,484,542,373,447,244,343,398,331,559,515,467,403,342,269,816,410,751,546,791,464,835,359,586,316,648,517,620,394,554,250,586,757,397,612,470,681,334,563,741,784,0
364,249,519,391,425,301,311,203,456,176,599,358,519,245,402,116,841,232,778,380,818,290,853,177,637,158,684,356,661,232,611,94,611,620,425,471,492,543,362,431,768,641,0
370,248,531,390,434,300,314,202,459,176,609,359,526,245,402,117,853,236,789,384,829,294,867,180,649,156,695,358,673,232,623,91,617,618,430,470,500,541,368,430,771,642,0
505,235,678,399,574,297,446,182,612,178,765,368,682,250,554,116,1057,237,969,401,1025,302,1078,179,824,164,863,370,851,239,796,102,756,633,567,480,640,554,492,428,924,666,0
